index,asin,reviews,ratings,seller,status,variations,browse_node,brand_name,availability,deal,image_len,video,main_img_url,bullet_point_len,bestSellerRank,price,MRP,title,description,A_plus,store_link,timestamp
,B08KM9BYRX,3.9,465,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Kitchen & Dining > Kitchen Tools > Gas Stove Replacement Parts,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/41OVF9lg1RL._SS500_.jpg,1,"Not Available, Not Available",409.,699.0,Kuber Industries 2 Pieces LPG Cylinder Trolley Easily Movable Stand with Wheels Gas Cylinder Stands Gas Cylinder Trolley (Blue & Red)-KUBMART11184,"Easy Movement for Your Gas Cylinder Kuber Industries gas cylinder trolley will help you move your heavy gas cylinder from one place to another, with ease. Say goodbye to backaches caused by lifting your heavy cylinder around the kitchen. This gas cylinder trolley does the job for you. Simply place your LPG cylinder on it and push it around. Its body is made of strong and durable virgin plastic that can easily bear the weight of a gas cylinders. It sports an attractive Blue & Red body, instantly capturing your attention and blending in with the cylinder. You can use it for years at a stretch thanks to its rust-free quality. Well-balanced, Multi-directional Movement, Prevents Scratches This LPG cylinder trolley is loaded with features that make it a must-have tool in your kitchen. You can move this trolley around easily thanks to the four heavy duty nylon castor wheels it sports. These wheels can move in multiple directions and are placed on the outer rim of this LPG cylinder trolley, ensuring that the cylinder is well balanced on the trolley. The nylon of these castors keeps your kitchen and house floor free of skid marks. You can now move your cylinder seamlessly, in one smooth movement, completely hassle free.",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B08KM9BYRX&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 12:53:06
,B01G9A7KR0,4.2,520,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Clothing & Wardrobe Storage > Space Saver Bags,Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/51LTAnXYcoL._SS500_.jpg,5,"#4,608 in Home & Kitchen, #341 in Space Saver Bags",209.,599.0,Kuber Industries Cotton Blouse Cover|Polka Dots & Tranparent Side|Zipper Closure|Size 37 x 25 x 23 CM (Maroon),"Try the exclusive blouse cover from kuber industries. This products is very useful in storing, dust free and well organised gives heavy look to your garments. This cover is non wooven material with front transparent and has a capacity of storing 15 blouses. Exclusively, kuber industries sari covers truly suffices our moto - bags accessories inspired by love, crafted by hand. 10*15*9 Inches",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01G9A7KR0&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:31:52
,B01J1X3E0E,3.2,21,Kuber Mart Industries Pvt. Ltd.,Live,N/A,"Bags, Wallets and Luggage > Luggage > Travel Duffles",Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/5126t5vsP+L._SS500_.jpg,3,"#14,587 in Bags, Wallets and Luggage, #648 in Travel Duffels",209.,659.0,"Kuber Industries Women's Cotton Traditional Design Mini Handbag, Blue (KI0044913)",Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=76DC0D4E-FB25-46A1-ABAA-73EF5C643A70&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B01J1X3E0E&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:32:00
,B01M0ENCRD,4.1,5141,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Cloths,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/51vQQ3OtH0L._SS500_.jpg,5,"#2,473 in Home & Kitchen, #83 in Table Cloths",233.,598.0,Kuber Industries Center Table Cover|Cotton Center Table Cover for Living Room|Table Cloth for 4 Seater|White,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01M0ENCRD&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:32:10
,B01MT2RDEM,3.8,134,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Runners,Kuber Industries,In stock,N/A,7,Not Available,https://m.media-amazon.com/images/I/51sxuDpvACL._SS500_.jpg,5,"#92,271 in Home & Kitchen, #185 in Table Runners",169.,299.0,Kuber Industries Table Runner Virgin Vinyl (Soft Fabric) Gold Standard (MKUKITable0058233),Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01MT2RDEM&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:32:20
,B06Y27Z713,4.1,1626,N/A,Suppressed,N/A,Home & Kitchen > Home Storage & Organisation > Clothing & Wardrobe Storage > Clothes Covers,Kuber Industries,N/A,N/A,7,Available,https://m.media-amazon.com/images/I/51i2+qVtCiL._SS500_.jpg,5,"#431,667 in Home & Kitchen, #1,642 in Clothes Covers",299.,0,"Kuber Industries Non Woven Saree Storage Covers| Zipper Closure & Easily Foldable|Trendy Solid Color, Pack of 12 (Multicolor)",N/A,N/A,N/A,2025-08-17 13:32:32
,B01G9A7KR0,4.2,520,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Clothing & Wardrobe Storage > Space Saver Bags,Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/51LTAnXYcoL._SS500_.jpg,5,"#4,606 in Home & Kitchen, #341 in Space Saver Bags",209.,599.0,Kuber Industries Cotton Blouse Cover|Polka Dots & Tranparent Side|Zipper Closure|Size 37 x 25 x 23 CM (Maroon),"Try the exclusive blouse cover from kuber industries. This products is very useful in storing, dust free and well organised gives heavy look to your garments. This cover is non wooven material with front transparent and has a capacity of storing 15 blouses. Exclusively, kuber industries sari covers truly suffices our moto - bags accessories inspired by love, crafted by hand. 10*15*9 Inches",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01G9A7KR0&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:42:01
,B01J1X3E0E,3.2,21,Kuber Mart Industries Pvt. Ltd.,Live,N/A,"Bags, Wallets and Luggage > Luggage > Travel Duffles",Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/5126t5vsP+L._SS500_.jpg,3,"#14,587 in Bags, Wallets and Luggage, #648 in Travel Duffels",209.,659.0,"Kuber Industries Women's Cotton Traditional Design Mini Handbag, Blue (KI0044913)",Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=76DC0D4E-FB25-46A1-ABAA-73EF5C643A70&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B01J1X3E0E&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:42:09
,B01M0ENCRD,4.1,5141,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Cloths,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/51vQQ3OtH0L._SS500_.jpg,5,"#2,473 in Home & Kitchen, #83 in Table Cloths",233.,598.0,Kuber Industries Center Table Cover|Cotton Center Table Cover for Living Room|Table Cloth for 4 Seater|White,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01M0ENCRD&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:42:18
,B01MT2RDEM,3.8,134,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Runners,Kuber Industries,In stock,N/A,7,Not Available,https://m.media-amazon.com/images/I/51sxuDpvACL._SS500_.jpg,5,"#92,248 in Home & Kitchen, #185 in Table Runners",169.,299.0,Kuber Industries Table Runner Virgin Vinyl (Soft Fabric) Gold Standard (MKUKITable0058233),Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01MT2RDEM&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 13:42:27
